sequence,v115@ShA8EeC8AeC8AeE8JeZEJvhFflB0gBSnBTjBmmBFrB,v115@ShA8EeC8AeC8AeE8JeZEJvhFWlB3hBcnBTjBilBFrB,v115@ShA8EeC8AeC8AeE8JeZEJvhFflBumBcnBTjBarBlqB,v115@ShA8EeC8AeC8AeE8Je3BJvhFcnBTjBxkBOpBilBFrB
LJTZOSI,X,O,X,X
LJTOISZ,O,X,X,X
LJTOIZS,X,O,X,X
LJTOSIZ,O,X,X,X
LJTOSZI,O,X,X,X
LJTOZIS,X,O,X,X
LJTOZSI,X,O,X,X
LJITSZO,O,X,X,X
LJITSOZ,O,X,X,X
LJITZSO,X,O,X,X
LJITZOS,X,O,X,X
LJITOSZ,O,X,X,X
LJITOZS,X,O,X,X
LJISTZO,O,X,X,X
LJISTOZ,O,X,X,X
LJISZTO,X,X,O,X
LJISZOT,O,X,O,X
LJISOTZ,O,X,X,X
LJISOZT,O,X,O,X
LJIZTSO,X,O,O,X
LJIZTOS,X,O,O,X
LJIZSTO,X,X,O,X
LJIZSOT,X,O,O,X
LJIZOTS,X,O,O,X
LJIZOST,X,O,O,X
LJIOTSZ,O,X,X,X
LJIOTZS,X,O,X,X
LJIOSTZ,O,X,X,X
LJIOSZT,O,X,O,X
LJIOZTS,X,O,O,X
LJIOZST,X,O,O,X
LJSTIZO,O,X,X,X
LJSTIOZ,O,X,X,X
LJSTZIO,O,X,X,X
LJSTZOI,O,X,X,X
LJSTOIZ,O,X,X,X
LJSTOZI,O,X,X,X
LJSITZO,O,X,X,X
LJSITOZ,O,X,X,X
LJSIZTO,X,X,O,X
LJSIZOT,O,X,O,X
LJSIOTZ,O,X,X,X
LJSIOZT,O,X,O,X
LJSZTIO,X,X,O,X
LJSZTOI,X,X,O,X
LJSZITO,X,X,O,X
LJSZIOT,O,X,O,X
LJSZOTI,X,X,O,X
LJSZOIT,O,X,O,X
LJSOTIZ,O,X,X,X
LJSOTZI,O,X,X,X
LJSOITZ,O,X,X,X
LJSOIZT,O,X,O,X
LJSOZTI,X,X,O,X
LJSOZIT,O,X,O,X
LJZTISO,X,O,O,X
LJZTIOS,X,O,O,X
LJZTSIO,X,O,O,X
LJZTSOI,X,O,O,X
LJZTOIS,X,O,O,X
LJZTOSI,X,O,O,X
LJZITSO,X,O,O,X
LJZITOS,X,O,O,X
LJZISTO,X,X,O,X
LJZISOT,X,O,O,X
LJZIOTS,X,O,O,X
LJZIOST,X,O,O,X
LJZSTIO,X,X,O,X
LJZSTOI,X,X,O,X
LJZSITO,X,X,O,X
LJZSIOT,X,O,O,X
LJZSOTI,X,X,O,X
LJZSOIT,X,O,O,X
LJZOTIS,X,O,O,X
LJZOTSI,X,O,O,X
LJZOITS,X,O,O,X
LJZOIST,X,O,O,X
LJZOSTI,X,X,O,X
LJZOSIT,X,O,O,X
LJOTISZ,O,X,X,X
LJOTIZS,X,O,X,X
LJOTSIZ,O,X,X,X
LJOTSZI,O,X,X,X
LJOTZIS,X,O,X,X
LJOTZSI,X,O,X,X
LJOITSZ,O,X,X,X
LJOITZS,X,O,X,X
LJOISTZ,O,X,X,X
LJOISZT,O,X,O,X
LJOIZTS,X,O,O,X
LJOIZST,X,O,O,X
LJOSTIZ,O,X,X,X
LJOSTZI,O,X,X,X
LJOSITZ,O,X,X,X
LJOSIZT,O,X,O,X
LJOSZTI,X,X,O,X
LJOSZIT,O,X,O,X
LJOZTIS,X,O,O,X
LJOZTSI,X,O,O,X
LJOZITS,X,O,O,X
LJOZIST,X,O,O,X
LJOZSTI,X,X,O,X
LJOZSIT,X,O,O,X
LSTIJZO,O,X,X,X
LSTIJOZ,O,X,X,X
LSTIZJO,O,X,O,X
LSTIZOJ,O,X,O,X
LSTIOJZ,O,X,X,X
LSTIOZJ,O,X,O,X
LSTJIZO,O,X,X,X
LSTJIOZ,O,X,X,X
LSTJZIO,O,X,X,X
LSTJZOI,O,X,X,X
LSTJOIZ,O,X,X,X
LSTJOZI,O,X,X,X
LSTZIJO,O,X,O,X
LSTZIOJ,O,X,O,X
LSTZJIO,O,X,O,X
LSTZJOI,O,X,O,X
LSTZOIJ,O,X,O,X
LSTZOJI,O,X,O,X
LSTOIJZ,O,X,X,X
LSTOIZJ,O,X,O,X
LSTOJIZ,O,X,X,X
LSTOJZI,O,X,X,X
LSTOZIJ,O,X,O,X
LSTOZJI,O,X,O,X
LSITJZO,O,X,X,X
LSITJOZ,O,X,X,X
LSITZJO,O,X,O,X
LSITZOJ,O,X,O,X
LSITOJZ,O,X,X,X
LSITOZJ,O,X,O,X
LSIJTZO,O,X,X,X
LSIJTOZ,O,X,X,X
LSIJZTO,X,X,O,X
LSIJZOT,O,X,O,X
LSIJOTZ,O,X,X,X
LSIJOZT,O,X,O,X
LSIZTJO,O,X,O,X
LSIZTOJ,O,X,O,X
LSIZJTO,X,X,O,X
LSIZJOT,O,X,O,X
LSIZOTJ,O,X,O,X
LSIZOJT,O,X,O,X
LSIOTJZ,O,X,X,X
LSIOTZJ,O,X,O,X
LSIOJTZ,O,X,X,X
LSIOJZT,O,X,O,X
LSIOZTJ,O,X,O,X
LSIOZJT,O,X,O,X
LSJTIZO,O,X,X,X
LSJTIOZ,O,X,X,X
LSJTZIO,O,X,X,X
LSJTZOI,O,X,X,X
LSJTOIZ,O,X,X,X
LSJTOZI,O,X,X,X
LSJITZO,O,X,X,X
LSJITOZ,O,X,X,X
LSJIZTO,X,X,O,X
LSJIZOT,O,X,O,X
LSJIOTZ,O,X,X,X
LSJIOZT,O,X,O,X
LSJZTIO,X,X,O,X
LSJZTOI,X,X,O,X
LSJZITO,X,X,O,X
LSJZIOT,O,X,O,X
LSJZOTI,X,X,O,X
LSJZOIT,O,X,O,X
LSJOTIZ,O,X,X,X
LSJOTZI,O,X,X,X
LSJOITZ,O,X,X,X
LSJOIZT,O,X,O,X
LSJOZTI,X,X,O,X
LSJOZIT,O,X,O,X
LSZTIJO,O,X,O,X
LSZTIOJ,O,X,O,X
LSZTJIO,O,X,O,X
LSZTJOI,O,X,O,X
LSZTOIJ,O,X,O,X
LSZTOJI,O,X,O,X
LSZITJO,O,X,O,X
LSZITOJ,O,X,O,X
LSZIJTO,X,X,O,X
LSZIJOT,O,X,O,X
LSZIOTJ,O,X,O,X
LSZIOJT,O,X,O,X
LSZJTIO,X,X,O,X
LSZJTOI,X,X,O,X
LSZJITO,X,X,O,X
LSZJIOT,O,X,O,X
LSZJOTI,X,X,O,X
LSZJOIT,O,X,O,X
LSZOTIJ,O,X,O,X
LSZOTJI,O,X,O,X
LSZOITJ,O,X,O,X
LSZOIJT,O,X,O,X
LSZOJTI,X,X,O,X
LSZOJIT,O,X,O,X
LSOTIJZ,O,X,X,X
LSOTIZJ,O,X,O,X
LSOTJIZ,O,X,X,X
LSOTJZI,O,X,X,X
LSOTZIJ,O,X,O,X
LSOTZJI,O,X,O,X
LSOITJZ,O,X,X,X
LSOITZJ,O,X,O,X
LSOIJTZ,O,X,X,X
LSOIJZT,O,X,O,X
LSOIZTJ,O,X,O,X
LSOIZJT,O,X,O,X
LSOJTIZ,O,X,X,X
LSOJTZI,O,X,X,X
LSOJITZ,O,X,X,X
LSOJIZT,O,X,O,X
LSOJZTI,X,X,O,X
LSOJZIT,O,X,O,X
LSOZTIJ,O,X,O,X
LSOZTJI,O,X,O,X
LSOZITJ,O,X,O,X
LSOZIJT,O,X,O,X
LSOZJTI,X,X,O,X
LSOZJIT,O,X,O,X
LZTIJSO,X,O,O,X
LZTIJOS,X,O,O,X
LZTISJO,O,O,O,X
LZTISOJ,O,O,O,O
LZTIOJS,X,O,O,X
LZTIOSJ,O,O,O,O
LZTJISO,X,O,O,X
LZTJIOS,X,O,O,X
LZTJSIO,X,O,O,X
LZTJSOI,X,O,O,X
LZTJOIS,X,O,O,X
LZTJOSI,X,O,O,X
LZTSIJO,O,O,O,X
LZTSIOJ,O,O,O,O
LZTSJIO,O,O,O,X
LZTSJOI,O,O,O,X
LZTSOIJ,O,O,O,O
LZTSOJI,O,O,O,X
LZTOIJS,X,O,O,X
LZTOISJ,O,O,O,O
LZTOJIS,X,O,O,X
LZTOJSI,X,O,O,X
LZTOSIJ,O,O,O,O
LZTOSJI,O,O,O,X
LZITJSO,X,O,O,X
LZITJOS,X,O,O,X
LZITSJO,O,O,O,X
LZITSOJ,O,O,O,O
LZITOJS,X,O,O,X
LZITOSJ,O,O,O,O
LZIJTSO,X,O,O,X
LZIJTOS,X,O,O,X
LZIJSTO,X,X,O,X
LZIJSOT,X,O,O,X
LZIJOTS,X,O,O,X
LZIJOST,X,O,O,X
LZISTJO,O,X,O,X
LZISTOJ,O,X,O,X
LZISJTO,X,X,O,X
LZISJOT,O,O,O,X
LZISOTJ,O,X,O,O
LZISOJT,O,O,O,O
LZIOTJS,X,O,O,X
LZIOTSJ,O,O,O,O
LZIOJTS,X,O,O,X
LZIOJST,X,O,O,X
LZIOSTJ,O,X,O,O
LZIOSJT,O,O,O,O
LZJTISO,X,O,O,X
LZJTIOS,X,O,O,X
LZJTSIO,X,O,O,X
LZJTSOI,X,O,O,X
LZJTOIS,X,O,O,X
LZJTOSI,X,O,O,X
LZJITSO,X,O,O,X
LZJITOS,X,O,O,X
LZJISTO,X,X,O,X
LZJISOT,X,O,O,X
LZJIOTS,X,O,O,X
LZJIOST,X,O,O,X
LZJSTIO,X,X,O,X
LZJSTOI,X,X,O,X
LZJSITO,X,X,O,X
LZJSIOT,X,O,O,X
LZJSOTI,X,X,O,X
LZJSOIT,X,O,O,X
LZJOTIS,X,O,O,X
LZJOTSI,X,O,O,X
LZJOITS,X,O,O,X
LZJOIST,X,O,O,X
LZJOSTI,X,X,O,X
LZJOSIT,X,O,O,X
LZSTIJO,O,X,O,X
LZSTIOJ,O,X,O,X
LZSTJIO,O,X,O,X
LZSTJOI,O,X,O,X
LZSTOIJ,O,X,O,X
LZSTOJI,O,X,O,X
LZSITJO,O,X,O,X
LZSITOJ,O,X,O,X
LZSIJTO,X,X,O,X
LZSIJOT,O,O,O,X
LZSIOTJ,O,X,O,O
LZSIOJT,O,O,O,O
LZSJTIO,X,X,O,X
LZSJTOI,X,X,O,X
LZSJITO,X,X,O,X
LZSJIOT,O,O,O,X
LZSJOTI,X,X,O,X
LZSJOIT,O,O,O,X
LZSOTIJ,O,X,O,X
LZSOTJI,O,X,O,X
LZSOITJ,O,X,O,O
LZSOIJT,O,O,O,O
LZSOJTI,X,X,O,X
LZSOJIT,O,O,O,X
LZOTIJS,X,O,O,X
LZOTISJ,O,O,O,O
LZOTJIS,X,O,O,X
LZOTJSI,X,O,O,X
LZOTSIJ,O,O,O,O
LZOTSJI,O,O,O,X
LZOITJS,X,O,O,X
LZOITSJ,O,O,O,O
LZOIJTS,X,O,O,X
LZOIJST,X,O,O,X
LZOISTJ,O,X,O,O
LZOISJT,O,O,O,O
LZOJTIS,X,O,O,X
LZOJTSI,X,O,O,X
LZOJITS,X,O,O,X
LZOJIST,X,O,O,X
LZOJSTI,X,X,O,X
LZOJSIT,X,O,O,X
LZOSTIJ,O,X,O,X
LZOSTJI,O,X,O,X
LZOSITJ,O,X,O,O
LZOSIJT,O,O,O,O
LZOSJTI,X,X,O,X
LZOSJIT,O,O,O,X
LOTIJSZ,O,X,X,X
LOTIJZS,X,O,X,X
LOTISJZ,O,X,X,X
LOTISZJ,O,X,O,X
LOTIZJS,X,O,O,X
LOTIZSJ,O,O,O,O
LOTJISZ,O,X,X,X
LOTJIZS,X,O,X,X
LOTJSIZ,O,X,X,X
LOTJSZI,O,X,X,X
LOTJZIS,X,O,X,X
LOTJZSI,X,O,X,X
LOTSIJZ,O,X,X,X
LOTSIZJ,O,X,O,X
LOTSJIZ,O,X,X,X
LOTSJZI,O,X,X,X
LOTSZIJ,O,X,O,X
LOTSZJI,O,X,O,X
LOTZIJS,X,O,O,X
LOTZISJ,O,O,O,O
LOTZJIS,X,O,O,X
LOTZJSI,X,O,O,X
LOTZSIJ,O,O,O,O
LOTZSJI,O,O,O,X
LOITJSZ,O,X,X,X
LOITJZS,X,O,X,X
LOITSJZ,O,X,X,X
LOITSZJ,O,X,O,X
LOITZJS,X,O,O,X
LOITZSJ,O,O,O,O
LOIJTSZ,O,X,X,X
LOIJTZS,X,O,X,X
LOIJSTZ,O,X,X,X
LOIJSZT,O,X,O,X
LOIJZTS,X,O,O,X
LOIJZST,X,O,O,X
LOISTJZ,O,X,X,X
LOISTZJ,O,X,O,X
LOISJTZ,O,X,X,X
LOISJZT,O,X,O,X
LOISZTJ,O,X,O,X
LOISZJT,O,X,O,X
LOIZTJS,X,O,O,X
LOIZTSJ,O,O,O,O
LOIZJTS,X,O,O,X
LOIZJST,X,O,O,X
LOIZSTJ,O,X,O,O
LOIZSJT,O,O,O,O
LOJTISZ,O,X,X,X
LOJTIZS,X,O,X,X
LOJTSIZ,O,X,X,X
LOJTSZI,O,X,X,X
LOJTZIS,X,O,X,X
LOJTZSI,X,O,X,X
LOJITSZ,O,X,X,X
LOJITZS,X,O,X,X
LOJISTZ,O,X,X,X
LOJISZT,O,X,O,X
LOJIZTS,X,O,O,X
LOJIZST,X,O,O,X
LOJSTIZ,O,X,X,X
LOJSTZI,O,X,X,X
LOJSITZ,O,X,X,X
LOJSIZT,O,X,O,X
LOJSZTI,X,X,O,X
LOJSZIT,O,X,O,X
LOJZTIS,X,O,O,X
LOJZTSI,X,O,O,X
LOJZITS,X,O,O,X
LOJZIST,X,O,O,X
LOJZSTI,X,X,O,X
LOJZSIT,X,O,O,X
LOSTIJZ,O,X,X,X
LOSTIZJ,O,X,O,X
LOSTJIZ,O,X,X,X
LOSTJZI,O,X,X,X
LOSTZIJ,O,X,O,X
LOSTZJI,O,X,O,X
LOSITJZ,O,X,X,X
LOSITZJ,O,X,O,X
LOSIJTZ,O,X,X,X
LOSIJZT,O,X,O,X
LOSIZTJ,O,X,O,X
LOSIZJT,O,X,O,X
LOSJTIZ,O,X,X,X
LOSJTZI,O,X,X,X
LOSJITZ,O,X,X,X
LOSJIZT,O,X,O,X
LOSJZTI,X,X,O,X
LOSJZIT,O,X,O,X
LOSZTIJ,O,X,O,X
LOSZTJI,O,X,O,X
LOSZITJ,O,X,O,X
LOSZIJT,O,X,O,X
LOSZJTI,X,X,O,X
LOSZJIT,O,X,O,X
LOZTIJS,X,O,O,X
LOZTISJ,O,O,O,O
LOZTJIS,X,O,O,X
LOZTJSI,X,O,O,X
LOZTSIJ,O,O,O,O
LOZTSJI,O,O,O,X
LOZITJS,X,O,O,X
LOZITSJ,O,O,O,O
LOZIJTS,X,O,O,X
LOZIJST,X,O,O,X
LOZISTJ,O,X,O,O
LOZISJT,O,O,O,O
LOZJTIS,X,O,O,X
LOZJTSI,X,O,O,X
LOZJITS,X,O,O,X
LOZJIST,X,O,O,X
LOZJSTI,X,X,O,X
LOZJSIT,X,O,O,X
LOZSTIJ,O,X,O,X
LOZSTJI,O,X,O,X
LOZSITJ,O,X,O,O
LOZSIJT,O,O,O,O
LOZSJTI,X,X,O,X
LOZSJIT,O,O,O,X
JTILSZO,O,X,X,X
JTILSOZ,O,X,X,X
JTILZSO,X,O,X,X
JTILZOS,X,O,X,X
JTILOSZ,O,X,X,X
JTILOZS,X,O,X,X
JTISLZO,O,X,X,X
JTISLOZ,O,X,X,X
JTISZLO,O,O,X,X
JTISZOL,O,O,X,X
JTISOLZ,O,X,X,X
JTISOZL,O,O,X,X
JTIZLSO,X,O,X,X
JTIZLOS,X,O,X,X
JTIZSLO,X,O,X,X
JTIZSOL,X,O,X,O
JTIZOLS,X,O,X,X
JTIZOSL,X,O,X,O
JTIOLSZ,O,X,X,X
JTIOLZS,X,O,X,X
JTIOSLZ,O,X,X,X
JTIOSZL,O,O,X,X
JTIOZLS,X,O,X,X
JTIOZSL,X,O,X,O
JTLISZO,O,X,X,X
JTLISOZ,O,X,X,X
JTLIZSO,X,O,X,X
JTLIZOS,X,O,X,X
JTLIOSZ,O,X,X,X
JTLIOZS,X,O,X,X
JTLSIZO,O,X,X,X
JTLSIOZ,O,X,X,X
JTLSZIO,O,X,X,X
JTLSZOI,O,X,X,X
JTLSOIZ,O,X,X,X
JTLSOZI,O,X,X,X
JTLZISO,X,O,X,X
JTLZIOS,X,O,X,X
JTLZSIO,X,O,X,X
JTLZSOI,X,O,X,X
JTLZOIS,X,O,X,X
JTLZOSI,X,O,X,X
JTLOISZ,O,X,X,X
JTLOIZS,X,O,X,X
JTLOSIZ,O,X,X,X
JTLOSZI,O,X,X,X
JTLOZIS,X,O,X,X
JTLOZSI,X,O,X,X
JTSILZO,O,X,X,X
JTSILOZ,O,X,X,X
JTSIZLO,O,O,X,X
JTSIZOL,O,O,X,X
JTSIOLZ,O,X,X,X
JTSIOZL,O,O,X,X
JTSLIZO,O,X,X,X
JTSLIOZ,O,X,X,X
JTSLZIO,O,X,X,X
JTSLZOI,O,X,X,X
JTSLOIZ,O,X,X,X
JTSLOZI,O,X,X,X
JTSZILO,O,O,X,X
JTSZIOL,O,O,X,X
JTSZLIO,O,O,X,X
JTSZLOI,O,O,X,X
JTSZOIL,O,O,X,X
JTSZOLI,O,O,X,X
JTSOILZ,O,X,X,X
JTSOIZL,O,O,X,X
JTSOLIZ,O,X,X,X
JTSOLZI,O,X,X,X
JTSOZIL,O,O,X,X
JTSOZLI,O,O,X,X
JTZILSO,X,O,X,X
JTZILOS,X,O,X,X
JTZISLO,X,O,X,X
JTZISOL,X,O,X,O
JTZIOLS,X,O,X,X
JTZIOSL,X,O,X,O
JTZLISO,X,O,X,X
JTZLIOS,X,O,X,X
JTZLSIO,X,O,X,X
JTZLSOI,X,O,X,X
JTZLOIS,X,O,X,X
JTZLOSI,X,O,X,X
JTZSILO,X,O,X,X
JTZSIOL,X,O,X,O
JTZSLIO,X,O,X,X
JTZSLOI,X,O,X,X
JTZSOIL,X,O,X,O
JTZSOLI,X,O,X,X
JTZOILS,X,O,X,X
JTZOISL,X,O,X,O
JTZOLIS,X,O,X,X
JTZOLSI,X,O,X,X
JTZOSIL,X,O,X,O
JTZOSLI,X,O,X,X
JTOILSZ,O,X,X,X
JTOILZS,X,O,X,X
JTOISLZ,O,X,X,X
JTOISZL,O,O,X,X
JTOIZLS,X,O,X,X
JTOIZSL,X,O,X,O
JTOLISZ,O,X,X,X
JTOLIZS,X,O,X,X
JTOLSIZ,O,X,X,X
JTOLSZI,O,X,X,X
JTOLZIS,X,O,X,X
JTOLZSI,X,O,X,X
JTOSILZ,O,X,X,X
JTOSIZL,O,O,X,X
JTOSLIZ,O,X,X,X
JTOSLZI,O,X,X,X
JTOSZIL,O,O,X,X
JTOSZLI,O,O,X,X
JTOZILS,X,O,X,X
JTOZISL,X,O,X,O
JTOZLIS,X,O,X,X
JTOZLSI,X,O,X,X
JTOZSIL,X,O,X,O
JTOZSLI,X,O,X,X
JITLSZO,O,X,X,X
JITLSOZ,O,X,X,X
JITLZSO,X,O,X,X
JITLZOS,X,O,X,X
JITLOSZ,O,X,X,X
JITLOZS,X,O,X,X
JITSLZO,O,X,X,X
JITSLOZ,O,X,X,X
JITSZLO,O,O,X,X
JITSZOL,O,O,X,X
JITSOLZ,O,X,X,X
JITSOZL,O,O,X,X
JITZLSO,X,O,X,X
JITZLOS,X,O,X,X
JITZSLO,X,O,X,X
JITZSOL,X,O,X,O
JITZOLS,X,O,X,X
JITZOSL,X,O,X,O
JITOLSZ,O,X,X,X
JITOLZS,X,O,X,X
JITOSLZ,O,X,X,X
JITOSZL,O,O,X,X
JITOZLS,X,O,X,X
JITOZSL,X,O,X,O
JILTSZO,O,X,X,X
JILTSOZ,O,X,X,X
JILTZSO,X,O,X,X
JILTZOS,X,O,X,X
JILTOSZ,O,X,X,X
JILTOZS,X,O,X,X
JILSTZO,O,X,X,X
JILSTOZ,O,X,X,X
JILSZTO,X,X,O,X
JILSZOT,O,X,O,X
JILSOTZ,O,X,X,X
JILSOZT,O,X,O,X
JILZTSO,X,O,O,X
JILZTOS,X,O,O,X
JILZSTO,X,X,O,X
JILZSOT,X,O,O,X
JILZOTS,X,O,O,X
JILZOST,X,O,O,X
JILOTSZ,O,X,X,X
JILOTZS,X,O,X,X
JILOSTZ,O,X,X,X
JILOSZT,O,X,O,X
JILOZTS,X,O,O,X
JILOZST,X,O,O,X
JISTLZO,O,X,X,X
JISTLOZ,O,X,X,X
JISTZLO,O,O,X,X
JISTZOL,O,O,X,X
JISTOLZ,O,X,X,X
JISTOZL,O,O,X,X
JISLTZO,O,X,X,X
JISLTOZ,O,X,X,X
JISLZTO,X,X,O,X
JISLZOT,O,X,O,X
JISLOTZ,O,X,X,X
JISLOZT,O,X,O,X
JISZTLO,X,O,O,X
JISZTOL,X,O,O,X
JISZLTO,X,X,O,X
JISZLOT,O,O,O,X
JISZOTL,X,O,O,X
JISZOLT,O,O,O,X
JISOTLZ,O,X,X,X
JISOTZL,O,O,X,X
JISOLTZ,O,X,X,X
JISOLZT,O,X,O,X
JISOZTL,X,O,O,X
JISOZLT,O,O,O,X
JIZTLSO,X,O,O,X
JIZTLOS,X,O,O,X
JIZTSLO,X,O,O,X
JIZTSOL,X,O,O,O
JIZTOLS,X,O,O,X
JIZTOSL,X,O,O,O
JIZLTSO,X,O,O,X
JIZLTOS,X,O,O,X
JIZLSTO,X,X,O,X
JIZLSOT,X,O,O,X
JIZLOTS,X,O,O,X
JIZLOST,X,O,O,X
JIZSTLO,X,O,O,X
JIZSTOL,X,O,O,X
JIZSLTO,X,X,O,X
JIZSLOT,X,O,O,X
JIZSOTL,X,O,O,O
JIZSOLT,X,O,O,O
JIZOTLS,X,O,O,X
JIZOTSL,X,O,O,O
JIZOLTS,X,O,O,X
JIZOLST,X,O,O,X
JIZOSTL,X,O,O,O
JIZOSLT,X,O,O,O
JIOTLSZ,O,X,X,X
JIOTLZS,X,O,X,X
JIOTSLZ,O,X,X,X
JIOTSZL,O,O,X,X
JIOTZLS,X,O,X,X
JIOTZSL,X,O,X,O
JIOLTSZ,O,X,X,X
JIOLTZS,X,O,X,X
JIOLSTZ,O,X,X,X
JIOLSZT,O,X,O,X
JIOLZTS,X,O,O,X
JIOLZST,X,O,O,X
JIOSTLZ,O,X,X,X
JIOSTZL,O,O,X,X
JIOSLTZ,O,X,X,X
JIOSLZT,O,X,O,X
JIOSZTL,X,O,O,X
JIOSZLT,O,O,O,X
JIOZTLS,X,O,O,X
JIOZTSL,X,O,O,O
JIOZLTS,X,O,O,X
JIOZLST,X,O,O,X
JIOZSTL,X,O,O,O
JIOZSLT,X,O,O,O
JLTISZO,O,X,X,X
JLTISOZ,O,X,X,X
JLTIZSO,X,O,X,X
JLTIZOS,X,O,X,X
JLTIOSZ,O,X,X,X
JLTIOZS,X,O,X,X
JLTSIZO,O,X,X,X
JLTSIOZ,O,X,X,X
JLTSZIO,O,X,X,X
JLTSZOI,O,X,X,X
JLTSOIZ,O,X,X,X
JLTSOZI,O,X,X,X
JLTZISO,X,O,X,X
JLTZIOS,X,O,X,X
JLTZSIO,X,O,X,X
JLTZSOI,X,O,X,X
JLTZOIS,X,O,X,X
JLTZOSI,X,O,X,X
JLTOISZ,O,X,X,X
JLTOIZS,X,O,X,X
JLTOSIZ,O,X,X,X
JLTOSZI,O,X,X,X
JLTOZIS,X,O,X,X
JLTOZSI,X,O,X,X
JLITSZO,O,X,X,X
JLITSOZ,O,X,X,X
JLITZSO,X,O,X,X
JLITZOS,X,O,X,X
JLITOSZ,O,X,X,X
JLITOZS,X,O,X,X
JLISTZO,O,X,X,X
JLISTOZ,O,X,X,X
JLISZTO,X,X,O,X
JLISZOT,O,X,O,X
JLISOTZ,O,X,X,X
JLISOZT,O,X,O,X
JLIZTSO,X,O,O,X
JLIZTOS,X,O,O,X
JLIZSTO,X,X,O,X
JLIZSOT,X,O,O,X
JLIZOTS,X,O,O,X
JLIZOST,X,O,O,X
JLIOTSZ,O,X,X,X
JLIOTZS,X,O,X,X
JLIOSTZ,O,X,X,X
JLIOSZT,O,X,O,X
JLIOZTS,X,O,O,X
JLIOZST,X,O,O,X
JLSTIZO,O,X,X,X
JLSTIOZ,O,X,X,X
JLSTZIO,O,X,X,X
JLSTZOI,O,X,X,X
JLSTOIZ,O,X,X,X
JLSTOZI,O,X,X,X
JLSITZO,O,X,X,X
JLSITOZ,O,X,X,X
JLSIZTO,X,X,O,X
JLSIZOT,O,X,O,X
JLSIOTZ,O,X,X,X
JLSIOZT,O,X,O,X
JLSZTIO,X,X,O,X
JLSZTOI,X,X,O,X
JLSZITO,X,X,O,X
JLSZIOT,O,X,O,X
JLSZOTI,X,X,O,X
JLSZOIT,O,X,O,X
JLSOTIZ,O,X,X,X
JLSOTZI,O,X,X,X
JLSOITZ,O,X,X,X
JLSOIZT,O,X,O,X
JLSOZTI,X,X,O,X
JLSOZIT,O,X,O,X
JLZTISO,X,O,O,X
JLZTIOS,X,O,O,X
JLZTSIO,X,O,O,X
JLZTSOI,X,O,O,X
JLZTOIS,X,O,O,X
JLZTOSI,X,O,O,X
JLZITSO,X,O,O,X
JLZITOS,X,O,O,X
JLZISTO,X,X,O,X
JLZISOT,X,O,O,X
JLZIOTS,X,O,O,X
JLZIOST,X,O,O,X
JLZSTIO,X,X,O,X
JLZSTOI,X,X,O,X
JLZSITO,X,X,O,X
JLZSIOT,X,O,O,X
JLZSOTI,X,X,O,X
JLZSOIT,X,O,O,X
JLZOTIS,X,O,O,X
JLZOTSI,X,O,O,X
JLZOITS,X,O,O,X
JLZOIST,X,O,O,X
JLZOSTI,X,X,O,X
JLZOSIT,X,O,O,X
JLOTISZ,O,X,X,X
JLOTIZS,X,O,X,X
JLOTSIZ,O,X,X,X
JLOTSZI,O,X,X,X
JLOTZIS,X,O,X,X
JLOTZSI,X,O,X,X
JLOITSZ,O,X,X,X
JLOITZS,X,O,X,X
JLOISTZ,O,X,X,X
JLOISZT,O,X,O,X
JLOIZTS,X,O,O,X
JLOIZST,X,O,O,X
JLOSTIZ,O,X,X,X
JLOSTZI,O,X,X,X
JLOSITZ,O,X,X,X
JLOSIZT,O,X,O,X
JLOSZTI,X,X,O,X
JLOSZIT,O,X,O,X
JLOZTIS,X,O,O,X
JLOZTSI,X,O,O,X
JLOZITS,X,O,O,X
JLOZIST,X,O,O,X
JLOZSTI,X,X,O,X
JLOZSIT,X,O,O,X
JSTILZO,O,X,X,X
JSTILOZ,O,X,X,X
JSTIZLO,O,O,X,X
JSTIZOL,O,O,X,X
JSTIOLZ,O,X,X,X
JSTIOZL,O,O,X,X
JSTLIZO,O,X,X,X
JSTLIOZ,O,X,X,X
JSTLZIO,O,X,X,X
JSTLZOI,O,X,X,X
JSTLOIZ,O,X,X,X
JSTLOZI,O,X,X,X
JSTZILO,O,O,X,X
JSTZIOL,O,O,X,X
JSTZLIO,O,O,X,X
JSTZLOI,O,O,X,X
JSTZOIL,O,O,X,X
JSTZOLI,O,O,X,X
JSTOILZ,O,X,X,X
JSTOIZL,O,O,X,X
JSTOLIZ,O,X,X,X
JSTOLZI,O,X,X,X
JSTOZIL,O,O,X,X
JSTOZLI,O,O,X,X
JSITLZO,O,X,X,X
JSITLOZ,O,X,X,X
JSITZLO,O,O,X,X
JSITZOL,O,O,X,X
JSITOLZ,O,X,X,X
JSITOZL,O,O,X,X
JSILTZO,O,X,X,X
JSILTOZ,O,X,X,X
JSILZTO,X,X,O,X
JSILZOT,O,X,O,X
JSILOTZ,O,X,X,X
JSILOZT,O,X,O,X
JSIZTLO,X,O,O,X
JSIZTOL,X,O,O,X
JSIZLTO,X,X,O,X
JSIZLOT,O,O,O,X
JSIZOTL,X,O,O,X
JSIZOLT,O,O,O,X
JSIOTLZ,O,X,X,X
JSIOTZL,O,O,X,X
JSIOLTZ,O,X,X,X
