sequence,v115@FhB8HeB8EeA8BeC8DeB8AeB8Jem/IvhFUhBanB5nBT?kBfrBVvB,v115@FhB8HeB8EeA8BeC8DeB8AeB8JeT/IvhFlgBanB5nB/?qBOrB0pB,v115@FhB8HeB8EeA8BeC8DeB8AeB8JeUBJvhFanB5nB/pBF?lBzqBmpB,v115@FhB8HeB8EeA8BeC8DeB8AeB8Je0/IvhFlgBanB5nB/?pBOrBTqB,v115@FhB8HeB8EeA8BeC8DeB8AeB8JeT/IvhFanB5nB/qBF?mB0pBmqB,v115@FhB8HeB8EeA8BeC8DeB8AeB8JeaHJvhF5nBTkB/qBF?mB0pBmqB,v115@FhB8HeB8EeA8BeC8DeB8AeB8JeOEJvhF8kBanB5nBF?mBXqBzqB,v115@FhB8HeB8EeA8BeC8DeB8AeB8JeyEJvhFGiBFmB/sBx?pB0pBzqB,v115@FhB8HeB8EeA8BeC8DeB8AeB8JeKEJvhFRgBGiBFmB/?sB0qBzpB,v115@FhB8HeB8EeA8BeC8DeB8AeB8Jex/IvhF/pBUlBFmBT?nByvBGsB
ILOTJSZ,O,X,X,O,X,X,X,X,X,X
ILOTJZS,O,X,X,X,X,X,X,X,X,X
ILOTSJZ,O,X,O,O,X,O,X,O,X,X
ILOTSZJ,O,X,O,O,O,O,O,X,X,X
ILOTZJS,O,X,X,X,X,X,X,X,X,X
ILOTZSJ,O,X,O,O,X,X,X,X,X,X
ILOJTSZ,O,O,X,O,X,X,X,X,X,X
ILOJTZS,O,X,X,O,X,X,X,X,X,X
ILOJSTZ,O,O,O,O,X,O,X,X,X,X
ILOJSZT,X,O,O,O,X,X,X,X,X,X
ILOJZTS,O,O,X,O,X,X,X,X,X,X
ILOJZST,X,O,O,O,X,X,X,X,X,X
ILOSTJZ,O,X,O,O,X,O,X,O,X,X
ILOSTZJ,O,O,O,O,O,O,O,X,X,X
ILOSJTZ,O,X,O,O,X,O,X,O,X,X
ILOSJZT,X,X,O,O,X,X,X,X,X,X
ILOSZTJ,X,O,O,O,O,O,O,X,X,X
ILOSZJT,X,O,O,O,O,X,O,X,X,X
ILOZTJS,O,O,X,X,X,X,X,X,X,X
ILOZTSJ,O,O,O,O,O,X,X,X,X,X
ILOZJTS,O,O,X,X,X,X,X,X,X,X
ILOZJST,X,O,O,X,O,X,X,X,X,X
ILOZSTJ,X,O,O,O,O,O,X,X,X,X
ILOZSJT,X,O,O,O,O,X,X,X,X,X
IJTLSZO,O,O,X,O,O,X,O,O,X,X
IJTLSOZ,O,O,X,O,X,O,X,O,X,X
IJTLZSO,O,O,X,O,X,X,X,X,X,X
IJTLZOS,X,O,X,O,X,X,X,X,X,X
IJTLOSZ,O,O,X,O,X,X,X,X,X,X
IJTLOZS,O,X,X,O,X,X,X,X,X,X
IJTSLZO,O,O,X,O,O,X,O,O,X,X
IJTSLOZ,O,O,X,O,X,O,X,O,X,X
IJTSZLO,O,O,X,O,O,X,O,O,X,X
IJTSZOL,O,O,X,O,O,X,O,X,X,X
IJTSOLZ,O,O,X,O,X,O,X,O,X,X
IJTSOZL,O,O,X,O,X,X,X,X,X,X
IJTZLSO,O,O,X,O,X,X,X,X,X,X
IJTZLOS,X,O,X,O,X,X,X,X,X,X
IJTZSLO,O,O,X,O,X,X,X,X,X,X
IJTZSOL,O,O,X,O,X,X,X,X,X,X
IJTZOLS,X,O,X,O,X,X,X,X,X,X
IJTZOSL,X,O,X,O,X,X,X,X,X,X
IJTOLSZ,O,O,X,O,X,X,X,X,X,X
IJTOLZS,O,X,X,O,X,X,X,X,X,X
IJTOSLZ,O,O,X,O,X,X,X,X,X,X
IJTOSZL,O,O,X,O,X,X,X,X,X,X
IJTOZLS,O,X,X,O,X,X,X,X,X,X
IJTOZSL,O,X,X,O,X,X,X,X,X,X
IJLTSZO,O,O,X,O,O,X,O,O,X,X
IJLTSOZ,O,O,X,O,X,O,X,O,X,X
IJLTZSO,O,O,X,O,X,X,X,X,X,X
IJLTZOS,X,O,X,O,X,X,X,X,X,X
IJLTOSZ,O,O,X,O,X,X,X,X,X,X
IJLTOZS,O,X,X,O,X,X,X,X,X,X
IJLSTZO,X,O,X,O,O,X,O,O,X,X
IJLSTOZ,X,O,X,O,X,O,X,O,X,X
IJLSZTO,X,O,X,O,O,X,O,O,X,X
IJLSZOT,X,O,X,O,O,X,O,X,X,X
IJLSOTZ,X,O,O,O,X,O,X,O,X,X
IJLSOZT,X,O,O,O,X,X,X,X,X,X
IJLZTSO,X,O,X,O,X,X,X,X,X,X
IJLZTOS,X,O,X,O,X,X,X,X,X,X
IJLZSTO,X,O,X,O,O,X,X,X,X,X
IJLZSOT,X,O,X,O,O,X,X,X,X,X
IJLZOTS,X,O,X,O,X,X,X,X,X,X
IJLZOST,X,O,O,O,O,X,X,X,X,X
IJLOTSZ,O,O,X,O,X,X,X,X,X,X
IJLOTZS,O,X,X,O,X,X,X,X,X,X
IJLOSTZ,O,O,O,O,X,O,X,X,X,X
IJLOSZT,X,O,O,O,X,X,X,X,X,X
IJLOZTS,O,O,X,O,X,X,X,X,X,X
IJLOZST,X,O,O,O,X,X,X,X,X,X
IJSTLZO,X,O,X,O,O,X,O,O,X,X
IJSTLOZ,X,O,X,O,X,O,X,O,X,X
IJSTZLO,X,O,X,O,O,X,O,O,X,X
IJSTZOL,X,O,X,O,O,X,O,X,X,X
IJSTOLZ,X,O,X,O,X,O,X,O,X,X
IJSTOZL,X,O,X,O,X,X,X,X,X,X
IJSLTZO,X,O,X,O,O,X,O,O,X,X
IJSLTOZ,X,O,X,O,X,O,X,O,X,X
IJSLZTO,X,O,X,O,O,X,O,O,X,X
IJSLZOT,X,O,X,O,O,X,O,X,X,X
IJSLOTZ,X,O,O,O,X,O,X,O,X,X
IJSLOZT,X,O,O,O,X,X,X,X,X,X
IJSZTLO,X,O,X,O,O,X,O,O,X,X
IJSZTOL,X,O,X,O,O,X,O,X,X,X
IJSZLTO,X,O,X,O,O,X,O,O,X,X
IJSZLOT,X,O,X,O,O,X,O,X,X,X
IJSZOTL,X,O,X,O,O,X,O,X,X,X
IJSZOLT,X,O,X,O,O,X,O,X,X,X
IJSOTLZ,X,O,O,O,X,O,X,O,X,X
IJSOTZL,X,O,O,O,X,X,X,X,X,X
IJSOLTZ,X,O,O,O,X,O,X,O,X,X
IJSOLZT,X,O,O,O,X,X,X,X,X,X
IJSOZTL,X,O,O,O,X,X,X,X,X,X
IJSOZLT,X,O,O,O,X,X,X,X,X,X
IJZTLSO,X,O,X,O,X,X,X,X,X,X
IJZTLOS,X,O,X,O,X,X,X,X,X,X
IJZTSLO,X,O,X,O,X,X,X,X,X,X
IJZTSOL,X,O,X,O,X,X,X,X,X,X
IJZTOLS,X,O,X,O,X,X,X,X,X,X
IJZTOSL,X,O,X,O,X,X,X,X,X,X
IJZLTSO,X,O,X,O,X,X,X,X,X,X
IJZLTOS,X,O,X,O,X,X,X,X,X,X
IJZLSTO,X,O,X,O,O,X,X,X,X,X
IJZLSOT,X,O,X,O,O,X,X,X,X,X
IJZLOTS,X,O,X,O,X,X,X,X,X,X
IJZLOST,X,O,O,O,O,X,X,X,X,X
IJZSTLO,X,O,X,O,O,X,X,X,X,X
IJZSTOL,X,O,X,O,O,X,X,X,X,X
IJZSLTO,X,O,X,O,O,X,X,X,X,X
IJZSLOT,X,O,X,O,O,X,X,X,X,X
IJZSOTL,X,O,X,O,O,X,X,X,X,X
IJZSOLT,X,O,X,O,O,X,X,X,X,X
IJZOTLS,X,O,X,O,X,X,X,X,X,X
IJZOTSL,X,O,X,O,X,X,X,X,X,X
IJZOLTS,X,O,X,O,X,X,X,X,X,X
IJZOLST,X,O,O,O,O,X,X,X,X,X
IJZOSTL,X,O,O,O,O,X,X,X,X,X
IJZOSLT,X,O,O,O,O,X,X,X,X,X
IJOTLSZ,O,O,X,O,X,X,X,X,X,X
IJOTLZS,O,X,X,O,X,X,X,X,X,X
IJOTSLZ,O,O,X,O,X,X,X,X,X,X
IJOTSZL,O,O,X,O,X,X,X,X,X,X
IJOTZLS,O,X,X,O,X,X,X,X,X,X
IJOTZSL,O,X,X,O,X,X,X,X,X,X
IJOLTSZ,O,O,X,O,X,X,X,X,X,X
IJOLTZS,O,X,X,O,X,X,X,X,X,X
IJOLSTZ,O,O,O,O,X,O,X,X,X,X
IJOLSZT,X,O,O,O,X,X,X,X,X,X
IJOLZTS,O,O,X,O,X,X,X,X,X,X
IJOLZST,X,O,O,O,X,X,X,X,X,X
IJOSTLZ,O,O,O,O,X,O,X,X,X,X
IJOSTZL,O,O,O,O,X,X,X,X,X,X
IJOSLTZ,O,O,O,O,X,O,X,X,X,X
IJOSLZT,X,O,O,O,X,X,X,X,X,X
IJOSZTL,X,O,O,O,X,X,X,X,X,X
IJOSZLT,X,O,O,O,X,X,X,X,X,X
IJOZTLS,O,O,X,O,X,X,X,X,X,X
IJOZTSL,O,O,X,O,X,X,X,X,X,X
IJOZLTS,O,O,X,O,X,X,X,X,X,X
IJOZLST,X,O,O,O,X,X,X,X,X,X
IJOZSTL,X,O,O,O,X,X,X,X,X,X
IJOZSLT,X,O,O,O,X,X,X,X,X,X
ISTLJZO,O,O,X,O,O,X,O,O,X,X
ISTLJOZ,O,X,X,O,X,O,X,O,X,X
ISTLZJO,O,O,X,O,O,X,O,O,X,X
ISTLZOJ,O,O,X,O,O,O,O,X,X,X
ISTLOJZ,O,X,O,O,X,O,X,O,X,X
ISTLOZJ,O,O,O,O,O,O,O,X,X,X
ISTJLZO,O,O,X,O,O,X,O,O,X,X
ISTJLOZ,O,O,X,O,X,O,X,O,X,X
ISTJZLO,O,O,X,O,O,X,O,O,O,X
ISTJZOL,O,O,X,O,O,X,O,X,X,X
ISTJOLZ,O,O,X,O,X,O,X,O,X,X
ISTJOZL,O,O,X,O,X,X,X,X,X,X
ISTZLJO,O,O,X,O,O,X,O,O,O,X
ISTZLOJ,O,O,X,O,O,O,O,X,O,O
ISTZJLO,O,O,X,O,O,X,O,O,O,X
ISTZJOL,O,O,X,O,O,X,O,X,X,O
ISTZOLJ,O,O,X,O,O,O,O,X,X,O
ISTZOJL,O,O,X,O,O,X,O,X,X,O
ISTOLJZ,O,X,O,O,X,O,X,O,X,X
ISTOLZJ,O,O,O,O,O,O,O,X,X,X
ISTOJLZ,O,X,O,O,X,O,X,O,X,X
ISTOJZL,O,X,O,O,X,X,X,X,X,X
ISTOZLJ,O,O,O,O,O,O,O,X,X,O
ISTOZJL,O,O,O,O,O,X,O,X,X,O
ISLTJZO,O,O,X,O,O,X,O,O,X,X
ISLTJOZ,O,X,X,O,X,O,X,O,X,X
ISLTZJO,O,O,X,O,O,X,O,O,X,X
ISLTZOJ,O,O,X,O,O,O,O,X,X,X
ISLTOJZ,O,X,O,O,X,O,X,O,X,X
ISLTOZJ,O,O,O,O,O,O,O,X,X,X
ISLJTZO,X,O,X,O,O,X,O,O,X,X
ISLJTOZ,X,O,X,O,X,O,X,O,X,X
ISLJZTO,X,O,X,O,O,X,O,O,O,X
ISLJZOT,X,O,X,O,O,X,O,X,X,X
ISLJOTZ,X,O,O,O,X,O,X,O,X,X
ISLJOZT,X,O,O,O,X,X,X,X,X,X
ISLZTJO,X,O,X,O,O,X,O,O,O,X
ISLZTOJ,X,O,X,O,O,O,O,X,O,O
ISLZJTO,X,O,X,O,O,X,O,O,O,X
ISLZJOT,X,O,X,O,O,X,O,X,X,X
ISLZOTJ,X,O,O,O,O,O,O,X,X,O
ISLZOJT,X,O,O,O,O,X,O,X,X,X
ISLOTJZ,O,X,O,O,X,O,X,O,X,X
ISLOTZJ,O,O,O,O,O,O,O,X,X,X
ISLOJTZ,O,X,O,O,X,O,X,O,X,X
ISLOJZT,X,X,O,O,X,X,X,X,X,X
ISLOZTJ,X,O,O,O,O,O,O,X,X,O
ISLOZJT,X,O,O,O,O,X,O,X,X,X
ISJTLZO,X,O,X,O,O,X,O,O,X,X
ISJTLOZ,X,O,X,O,X,O,X,O,X,X
ISJTZLO,X,O,X,O,O,X,O,O,O,X
ISJTZOL,X,O,X,O,O,X,O,X,X,X
ISJTOLZ,X,O,X,O,X,O,X,O,X,X
ISJTOZL,X,O,X,O,X,X,X,X,X,X
ISJLTZO,X,O,X,O,O,X,O,O,X,X
ISJLTOZ,X,O,X,O,X,O,X,O,X,X
ISJLZTO,X,O,X,O,O,X,O,O,O,X
ISJLZOT,X,O,X,O,O,X,O,X,X,X
ISJLOTZ,X,O,O,O,X,O,X,O,X,X
ISJLOZT,X,O,O,O,X,X,X,X,X,X
ISJZTLO,X,O,X,O,O,X,O,O,O,X
ISJZTOL,X,O,X,O,O,X,O,X,X,O
ISJZLTO,X,O,X,O,O,X,O,O,O,X
ISJZLOT,X,O,X,O,O,X,O,X,X,X
ISJZOTL,X,O,X,O,O,X,O,X,X,O
ISJZOLT,X,O,X,O,O,X,O,X,X,X
ISJOTLZ,X,O,O,O,X,O,X,O,X,X
ISJOTZL,X,O,O,O,X,X,X,X,X,X
ISJOLTZ,X,O,O,O,X,O,X,O,X,X
ISJOLZT,X,O,O,O,X,X,X,X,X,X
ISJOZTL,X,O,O,O,X,X,X,X,X,O
ISJOZLT,X,O,O,O,X,X,X,X,X,X
ISZTLJO,X,O,X,O,O,X,O,O,O,X
ISZTLOJ,X,O,X,O,O,O,O,X,O,O
ISZTJLO,X,O,X,O,O,X,O,O,O,X
ISZTJOL,X,O,X,O,O,X,O,X,X,O
ISZTOLJ,X,O,X,O,O,O,O,X,X,O
ISZTOJL,X,O,X,O,O,X,O,X,X,O
ISZLTJO,X,O,X,O,O,X,O,O,O,X
ISZLTOJ,X,O,X,O,O,O,O,X,O,O
ISZLJTO,X,O,X,O,O,X,O,O,O,X
ISZLJOT,X,O,X,O,O,X,O,X,X,X
ISZLOTJ,X,O,O,O,O,O,O,X,X,O
ISZLOJT,X,O,O,O,O,X,O,X,X,X
ISZJTLO,X,O,X,O,O,X,O,O,O,X
ISZJTOL,X,O,X,O,O,X,O,X,X,O
ISZJLTO,X,O,X,O,O,X,O,O,O,X
ISZJLOT,X,O,X,O,O,X,O,X,X,X
ISZJOTL,X,O,X,O,O,X,O,X,X,O
ISZJOLT,X,O,X,O,O,X,O,X,X,X
ISZOTLJ,X,O,O,O,O,O,O,X,X,O
ISZOTJL,X,O,O,O,O,X,O,X,X,O
ISZOLTJ,X,O,O,O,O,O,O,X,X,O
ISZOLJT,X,O,O,O,O,X,O,X,X,X
ISZOJTL,X,O,O,O,O,X,O,X,X,O
ISZOJLT,X,O,O,O,O,X,O,X,X,X
ISOTLJZ,O,X,O,O,X,O,X,O,X,X
ISOTLZJ,O,O,O,O,O,O,O,X,X,X
ISOTJLZ,O,X,O,O,X,O,X,O,X,X
ISOTJZL,O,X,O,O,X,X,X,X,X,X
ISOTZLJ,O,O,O,O,O,O,O,X,X,O
ISOTZJL,O,O,O,O,O,X,O,X,X,O
ISOLTJZ,O,X,O,O,X,O,X,O,X,X
ISOLTZJ,O,O,O,O,O,O,O,X,X,X
ISOLJTZ,O,X,O,O,X,O,X,O,X,X
ISOLJZT,X,X,O,O,X,X,X,X,X,X
ISOLZTJ,X,O,O,O,O,O,O,X,X,O
ISOLZJT,X,O,O,O,O,X,O,X,X,X
ISOJTLZ,O,O,O,O,X,O,X,O,X,X
ISOJTZL,O,O,O,O,X,X,X,X,X,X
ISOJLTZ,O,O,O,O,X,O,X,O,X,X
ISOJLZT,X,O,O,O,X,X,X,X,X,X
ISOJZTL,X,O,O,O,X,X,X,X,X,O
ISOJZLT,X,O,O,O,X,X,X,X,X,X
ISOZTLJ,X,O,O,O,O,O,O,X,X,O
ISOZTJL,X,O,O,O,O,X,O,X,X,O
ISOZLTJ,X,O,O,O,O,O,O,X,X,O
ISOZLJT,X,O,O,O,O,X,O,X,X,X
ISOZJTL,X,O,O,O,O,X,O,X,X,O
ISOZJLT,X,O,O,O,O,X,O,X,X,X
IZTLJSO,O,O,X,X,X,X,X,X,O,X
IZTLJOS,X,O,X,X,X,X,X,X,X,X
IZTLSJO,O,O,X,X,O,X,O,O,O,X
IZTLSOJ,O,O,X,X,O,O,O,X,O,X
IZTLOJS,O,O,X,X,X,X,X,X,X,X
IZTLOSJ,O,O,O,X,O,X,X,X,O,X
IZTJLSO,O,O,X,X,X,X,X,X,X,X
IZTJLOS,X,O,X,X,X,X,X,X,X,X
IZTJSLO,O,O,X,X,X,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X,X,X,X
IZTJOLS,X,O,X,X,X,X,X,X,X,X
IZTJOSL,X,O,X,X,X,X,X,X,X,X
IZTSLJO,O,O,X,X,O,X,O,O,O,X
IZTSLOJ,O,O,X,X,O,O,O,X,O,X
IZTSJLO,O,O,X,X,O,X,O,O,O,X
IZTSJOL,O,O,X,X,O,X,O,X,X,X
IZTSOLJ,O,O,X,X,O,O,O,X,X,X
IZTSOJL,O,O,X,X,O,X,O,X,X,X
IZTOLJS,O,O,X,X,X,X,X,X,X,X
IZTOLSJ,O,O,O,X,O,X,X,X,X,X
IZTOJLS,O,O,X,X,X,X,X,X,X,X
IZTOJSL,O,O,X,X,X,X,X,X,X,X
IZTOSLJ,O,O,O,X,O,X,X,X,X,X
IZTOSJL,O,O,O,X,O,X,X,X,X,X
IZLTJSO,O,O,X,X,X,X,X,X,O,X
IZLTJOS,X,O,X,X,X,X,X,X,X,X
IZLTSJO,O,O,X,X,O,X,O,O,O,X
IZLTSOJ,O,O,X,X,O,O,O,X,O,X
IZLTOJS,O,O,X,X,X,X,X,X,X,X
IZLTOSJ,O,O,O,X,O,X,X,X,O,X
IZLJTSO,X,O,X,O,X,X,X,X,X,X
IZLJTOS,X,O,X,O,X,X,X,X,X,X
IZLJSTO,X,O,X,O,O,X,X,X,X,X
IZLJSOT,X,O,X,O,O,X,X,X,X,X
IZLJOTS,X,O,X,O,X,X,X,X,X,X
IZLJOST,X,O,O,O,O,X,X,X,X,X
IZLSTJO,X,O,X,O,O,X,O,O,O,X
IZLSTOJ,X,O,X,O,O,O,O,X,O,X
IZLSJTO,X,O,X,O,O,X,O,O,O,X
IZLSJOT,X,O,X,O,O,X,O,X,X,X
IZLSOTJ,X,O,O,O,O,O,O,X,X,X
IZLSOJT,X,O,O,O,O,X,O,X,X,X
IZLOTJS,O,O,X,X,X,X,X,X,X,X
IZLOTSJ,O,O,O,O,O,X,X,X,X,X
IZLOJTS,O,O,X,X,X,X,X,X,X,X
IZLOJST,X,O,O,X,O,X,X,X,X,X
IZLOSTJ,X,O,O,O,O,O,X,X,X,X
IZLOSJT,X,O,O,O,O,X,X,X,X,X
IZJTLSO,X,O,X,O,X,X,X,X,X,X
IZJTLOS,X,O,X,O,X,X,X,X,X,X
IZJTSLO,X,O,X,O,X,X,X,X,X,X
IZJTSOL,X,O,X,O,X,X,X,X,X,X
IZJTOLS,X,O,X,O,X,X,X,X,X,X
IZJTOSL,X,O,X,O,X,X,X,X,X,X
IZJLTSO,X,O,X,O,X,X,X,X,X,X
IZJLTOS,X,O,X,O,X,X,X,X,X,X
IZJLSTO,X,O,X,O,O,X,X,X,X,X
IZJLSOT,X,O,X,O,O,X,X,X,X,X
IZJLOTS,X,O,X,O,X,X,X,X,X,X
IZJLOST,X,O,O,O,O,X,X,X,X,X
IZJSTLO,X,O,X,O,O,X,X,X,X,X
IZJSTOL,X,O,X,O,O,X,X,X,X,X
IZJSLTO,X,O,X,O,O,X,X,X,X,X
IZJSLOT,X,O,X,O,O,X,X,X,X,X
IZJSOTL,X,O,X,O,O,X,X,X,X,X
IZJSOLT,X,O,X,O,O,X,X,X,X,X
IZJOTLS,X,O,X,O,X,X,X,X,X,X
IZJOTSL,X,O,X,O,X,X,X,X,X,X
IZJOLTS,X,O,X,O,X,X,X,X,X,X
IZJOLST,X,O,O,O,O,X,X,X,X,X
IZJOSTL,X,O,O,O,O,X,X,X,X,X
IZJOSLT,X,O,O,O,O,X,X,X,X,X
IZSTLJO,X,O,X,O,O,X,O,O,O,X
IZSTLOJ,X,O,X,O,O,O,O,X,O,X
IZSTJLO,X,O,X,O,O,X,O,O,O,X
IZSTJOL,X,O,X,O,O,X,O,X,X,X
IZSTOLJ,X,O,X,O,O,O,O,X,X,X
IZSTOJL,X,O,X,O,O,X,O,X,X,X
IZSLTJO,X,O,X,O,O,X,O,O,O,X
IZSLTOJ,X,O,X,O,O,O,O,X,O,X
IZSLJTO,X,O,X,O,O,X,O,O,O,X
IZSLJOT,X,O,X,O,O,X,O,X,X,X
IZSLOTJ,X,O,O,O,O,O,O,X,X,X
IZSLOJT,X,O,O,O,O,X,O,X,X,X
IZSJTLO,X,O,X,O,O,X,O,O,O,X
IZSJTOL,X,O,X,O,O,X,O,X,X,X
IZSJLTO,X,O,X,O,O,X,O,O,O,X
IZSJLOT,X,O,X,O,O,X,O,X,X,X
IZSJOTL,X,O,X,O,O,X,O,X,X,X
IZSJOLT,X,O,X,O,O,X,O,X,X,X
IZSOTLJ,X,O,O,O,O,O,O,X,X,X
IZSOTJL,X,O,O,O,O,X,O,X,X,X
IZSOLTJ,X,O,O,O,O,O,O,X,X,X
IZSOLJT,X,O,O,O,O,X,O,X,X,X
IZSOJTL,X,O,O,O,O,X,O,X,X,X
IZSOJLT,X,O,O,O,O,X,O,X,X,X
IZOTLJS,O,O,X,X,X,X,X,X,X,X
IZOTLSJ,O,O,O,O,O,X,X,X,X,X
IZOTJLS,O,O,X,X,X,X,X,X,X,X
IZOTJSL,O,O,X,X,X,X,X,X,X,X
IZOTSLJ,O,O,O,O,O,X,X,X,X,X
IZOTSJL,O,O,O,O,O,X,X,X,X,X
IZOLTJS,O,O,X,X,X,X,X,X,X,X
IZOLTSJ,O,O,O,O,O,X,X,X,X,X
IZOLJTS,O,O,X,X,X,X,X,X,X,X
IZOLJST,X,O,O,X,O,X,X,X,X,X
IZOLSTJ,X,O,O,O,O,O,X,X,X,X
IZOLSJT,X,O,O,O,O,X,X,X,X,X
IZOJTLS,O,O,X,O,X,X,X,X,X,X
IZOJTSL,O,O,X,O,X,X,X,X,X,X
IZOJLTS,O,O,X,O,X,X,X,X,X,X
IZOJLST,X,O,O,O,O,X,X,X,X,X
IZOJSTL,X,O,O,O,O,X,X,X,X,X
IZOJSLT,X,O,O,O,O,X,X,X,X,X
IZOSTLJ,X,O,O,O,O,O,X,X,X,X
IZOSTJL,X,O,O,O,O,X,X,X,X,X
IZOSLTJ,X,O,O,O,O,O,X,X,X,X
IZOSLJT,X,O,O,O,O,X,X,X,X,X
IZOSJTL,X,O,O,O,O,X,X,X,X,X
IZOSJLT,X,O,O,O,O,X,X,X,X,X
IOTLJSZ,O,X,X,O,X,X,X,X,X,X
IOTLJZS,O,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,X,O,O,X,O,X,O,X,X
IOTLSZJ,O,X,O,O,O,O,O,X,X,X
IOTLZJS,O,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,X,O,O,X,X,X,X,X,X
IOTJLSZ,O,X,X,O,X,X,X,X,X,X
IOTJLZS,O,X,X,O,X,X,X,X,X,X
IOTJSLZ,O,X,X,O,X,X,X,X,X,X
IOTJSZL,O,X,X,O,X,X,X,X,X,X
IOTJZLS,O,X,X,O,X,X,X,X,X,X
IOTJZSL,O,X,X,O,X,X,X,X,X,X
IOTSLJZ,O,X,O,O,X,O,X,O,X,X
IOTSLZJ,O,X,O,O,O,O,O,X,X,X
IOTSJLZ,O,X,O,O,X,O,X,O,X,X
IOTSJZL,O,X,O,O,X,X,X,X,X,X
IOTSZLJ,O,X,O,O,O,O,O,X,X,O
IOTSZJL,O,X,O,O,O,X,O,X,X,O
IOTZLJS,O,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,X,O,O,X,X,X,X,X,X
IOTZJLS,O,X,X,X,X,X,X,X,X,X
IOTZJSL,O,X,X,X,X,X,X,X,X,X
IOTZSLJ,O,X,O,O,X,X,X,X,X,X
IOTZSJL,O,X,O,O,X,X,X,X,X,X
IOLTJSZ,O,X,X,O,X,X,X,X,X,X
IOLTJZS,O,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,X,O,O,X,O,X,O,X,X
IOLTSZJ,O,X,O,O,O,O,O,X,X,X
IOLTZJS,O,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,O,O,X,X,X,X,X,X
IOLJTSZ,O,O,X,O,X,X,X,X,X,X
IOLJTZS,O,X,X,O,X,X,X,X,X,X
IOLJSTZ,O,O,O,O,X,O,X,X,X,X
IOLJSZT,X,O,O,O,X,X,X,X,X,X
IOLJZTS,O,O,X,O,X,X,X,X,X,X
IOLJZST,X,O,O,O,X,X,X,X,X,X
IOLSTJZ,O,X,O,O,X,O,X,O,X,X
IOLSTZJ,O,O,O,O,O,O,O,X,X,X
IOLSJTZ,O,X,O,O,X,O,X,O,X,X
IOLSJZT,X,X,O,O,X,X,X,X,X,X
IOLSZTJ,X,O,O,O,O,O,O,X,X,X
IOLSZJT,X,O,O,O,O,X,O,X,X,X
IOLZTJS,O,O,X,X,X,X,X,X,X,X
IOLZTSJ,O,O,O,O,O,X,X,X,X,X
IOLZJTS,O,O,X,X,X,X,X,X,X,X
IOLZJST,X,O,O,X,O,X,X,X,X,X
IOLZSTJ,X,O,O,O,O,O,X,X,X,X
IOLZSJT,X,O,O,O,O,X,X,X,X,X
IOJTLSZ,O,O,X,O,X,X,X,X,X,X
IOJTLZS,O,X,X,O,X,X,X,X,X,X
IOJTSLZ,O,O,X,O,X,X,X,X,X,X
IOJTSZL,O,O,X,O,X,X,X,X,X,X
IOJTZLS,O,X,X,O,X,X,X,X,X,X
IOJTZSL,O,X,X,O,X,X,X,X,X,X
IOJLTSZ,O,O,X,O,X,X,X,X,X,X
IOJLTZS,O,X,X,O,X,X,X,X,X,X
IOJLSTZ,O,O,O,O,X,O,X,X,X,X
IOJLSZT,X,O,O,O,X,X,X,X,X,X
IOJLZTS,O,O,X,O,X,X,X,X,X,X
IOJLZST,X,O,O,O,X,X,X,X,X,X
IOJSTLZ,O,O,O,O,X,O,X,X,X,X
IOJSTZL,O,O,O,O,X,X,X,X,X,X
IOJSLTZ,O,O,O,O,X,O,X,X,X,X
IOJSLZT,X,O,O,O,X,X,X,X,X,X
IOJSZTL,X,O,O,O,X,X,X,X,X,X
IOJSZLT,X,O,O,O,X,X,X,X,X,X
IOJZTLS,O,O,X,O,X,X,X,X,X,X
IOJZTSL,O,O,X,O,X,X,X,X,X,X
IOJZLTS,O,O,X,O,X,X,X,X,X,X
IOJZLST,X,O,O,O,X,X,X,X,X,X
IOJZSTL,X,O,O,O,X,X,X,X,X,X
IOJZSLT,X,O,O,O,X,X,X,X,X,X
IOSTLJZ,O,X,O,O,X,O,X,O,X,X
IOSTLZJ,O,O,O,O,O,O,O,X,X,X
IOSTJLZ,O,X,O,O,X,O,X,O,X,X
IOSTJZL,O,X,O,O,X,X,X,X,X,X
IOSTZLJ,O,O,O,O,O,O,O,X,X,O
IOSTZJL,O,O,O,O,O,X,O,X,X,O
IOSLTJZ,O,X,O,O,X,O,X,O,X,X
IOSLTZJ,O,O,O,O,O,O,O,X,X,X
IOSLJTZ,O,X,O,O,X,O,X,O,X,X
IOSLJZT,X,X,O,O,X,X,X,X,X,X
IOSLZTJ,X,O,O,O,O,O,O,X,X,O
IOSLZJT,X,O,O,O,O,X,O,X,X,X
IOSJTLZ,O,O,O,O,X,O,X,O,X,X
IOSJTZL,O,O,O,O,X,X,X,X,X,X
IOSJLTZ,O,O,O,O,X,O,X,O,X,X
IOSJLZT,X,O,O,O,X,X,X,X,X,X
IOSJZTL,X,O,O,O,X,X,X,X,X,O
IOSJZLT,X,O,O,O,X,X,X,X,X,X
IOSZTLJ,X,O,O,O,O,O,O,X,X,O
