sequence,v115@MhA8IeB8BeA8AeG8AeA8JeZEJvhFUgBamBFiBTjBWq?BftB,v115@MhA8IeB8BeA8AeG8AeA8JeZEJvhFqkBmgBFiBTjB0l?BftB,v115@MhA8IeB8BeA8AeG8AeA8JeZEJvhFukBamBUiBTlBXo?BFtB
LZITJOS,X,X,X
LZITSJO,X,O,X
LZITSOJ,X,O,X
LZITOJS,X,X,X
LZITOSJ,X,X,X
LZIJTSO,X,O,X
LZIJTOS,X,X,X
LZIJSTO,X,O,X
LZIJSOT,X,O,X
LZIJOTS,X,X,X
LZIJOST,X,X,X
LZISTJO,X,O,X
LZISTOJ,X,O,X
LZISJTO,X,O,X
LZISJOT,X,O,X
LZISOTJ,X,O,X
LZISOJT,X,O,O
LZIOTJS,X,X,X
LZIOTSJ,X,X,X
LZIOJTS,X,X,X
LZIOJST,X,X,O
LZIOSTJ,X,X,X
LZIOSJT,X,X,O
LZJTISO,X,O,X
LZJTIOS,X,X,X
LZJTSIO,X,O,X
LZJTSOI,X,O,X
LZJTOIS,X,X,X
LZJTOSI,X,X,X
LZJITSO,X,O,X
LZJITOS,X,X,X
LZJISTO,X,O,X
LZJISOT,X,O,X
LZJIOTS,X,X,X
LZJIOST,X,X,X
LZJSTIO,X,O,X
LZJSTOI,X,O,X
LZJSITO,X,O,X
LZJSIOT,X,O,X
LZJSOTI,X,O,X
LZJSOIT,X,O,X
LZJOTIS,X,X,X
LZJOTSI,X,X,X
LZJOITS,X,X,X
LZJOIST,X,X,X
LZJOSTI,X,X,X
LZJOSIT,X,X,X
LZSTIJO,X,O,X
LZSTIOJ,X,O,X
LZSTJIO,X,O,X
LZSTJOI,X,O,X
LZSTOIJ,X,O,X
LZSTOJI,X,O,X
LZSITJO,X,O,X
LZSITOJ,X,O,X
LZSIJTO,X,O,X
LZSIJOT,X,O,X
LZSIOTJ,X,O,X
LZSIOJT,X,O,O
LZSJTIO,X,O,X
LZSJTOI,X,O,X
LZSJITO,X,O,X
LZSJIOT,X,O,X
LZSJOTI,X,O,X
LZSJOIT,X,O,X
LZSOTIJ,X,O,X
LZSOTJI,X,O,X
LZSOITJ,X,O,X
LZSOIJT,X,O,O
LZSOJTI,X,O,X
LZSOJIT,X,O,O
LZOTIJS,X,X,X
LZOTISJ,X,X,X
LZOTJIS,X,X,X
LZOTJSI,X,X,X
LZOTSIJ,X,X,X
LZOTSJI,X,X,X
LZOITJS,X,X,X
LZOITSJ,X,X,X
LZOIJTS,X,X,X
LZOIJST,X,X,O
LZOISTJ,X,X,X
LZOISJT,X,X,O
LZOJTIS,X,X,X
LZOJTSI,X,X,X
LZOJITS,X,X,X
LZOJIST,X,X,O
LZOJSTI,X,X,X
LZOJSIT,X,X,O
LZOSTIJ,X,X,X
LZOSTJI,X,X,X
LZOSITJ,X,X,X
LZOSIJT,X,X,O
LZOSJTI,X,X,X
LZOSJIT,X,X,O
LOTIJSZ,X,X,X
LOTIJZS,X,X,X
LOTISJZ,X,X,X
LOTISZJ,X,X,X
LOTIZJS,X,X,X
LOTIZSJ,X,X,X
LOTJISZ,X,X,X
LOTJIZS,X,X,X
LOTJSIZ,X,X,X
LOTJSZI,X,X,X
LOTJZIS,X,X,X
LOTJZSI,X,X,X
LOTSIJZ,X,X,X
LOTSIZJ,X,X,X
LOTSJIZ,X,X,X
LOTSJZI,X,X,X
LOTSZIJ,X,X,X
LOTSZJI,X,X,X
LOTZIJS,X,X,X
LOTZISJ,X,X,X
LOTZJIS,X,X,X
LOTZJSI,X,X,X
LOTZSIJ,X,X,X
LOTZSJI,X,X,X
LOITJSZ,X,X,X
LOITJZS,X,X,X
LOITSJZ,X,X,X
LOITSZJ,X,X,X
LOITZJS,X,X,X
LOITZSJ,X,X,X
LOIJTSZ,X,X,X
LOIJTZS,X,X,X
LOIJSTZ,X,X,X
LOIJSZT,X,X,O
LOIJZTS,X,X,X
LOIJZST,X,X,O
LOISTJZ,X,X,X
LOISTZJ,X,X,X
LOISJTZ,X,X,X
LOISJZT,X,X,O
LOISZTJ,X,X,X
LOISZJT,X,X,O
LOIZTJS,X,X,X
LOIZTSJ,X,X,X
LOIZJTS,X,X,X
LOIZJST,X,X,O
LOIZSTJ,X,X,X
LOIZSJT,X,X,O
LOJTISZ,X,X,X
LOJTIZS,X,X,X
LOJTSIZ,X,X,X
LOJTSZI,X,X,X
LOJTZIS,X,X,X
LOJTZSI,X,X,X
LOJITSZ,X,X,X
LOJITZS,X,X,X
LOJISTZ,X,X,X
LOJISZT,X,X,O
LOJIZTS,X,X,X
LOJIZST,X,X,O
LOJSTIZ,X,X,X
LOJSTZI,X,X,X
LOJSITZ,X,X,X
LOJSIZT,X,X,O
LOJSZTI,X,X,X
LOJSZIT,X,X,O
LOJZTIS,X,X,X
LOJZTSI,X,X,X
LOJZITS,X,X,X
LOJZIST,X,X,O
LOJZSTI,X,X,X
LOJZSIT,X,X,O
LOSTIJZ,X,X,X
LOSTIZJ,X,X,X
LOSTJIZ,X,X,X
LOSTJZI,X,X,X
LOSTZIJ,X,X,X
LOSTZJI,X,X,X
LOSITJZ,X,X,X
LOSITZJ,X,X,X
LOSIJTZ,X,X,X
LOSIJZT,X,X,O
LOSIZTJ,X,X,X
LOSIZJT,X,X,O
LOSJTIZ,X,X,X
LOSJTZI,X,X,X
LOSJITZ,X,X,X
LOSJIZT,X,X,O
LOSJZTI,X,X,X
LOSJZIT,X,X,O
LOSZTIJ,X,X,X
LOSZTJI,X,X,X
LOSZITJ,X,X,X
LOSZIJT,X,X,O
LOSZJTI,X,X,X
LOSZJIT,X,X,O
LOZTIJS,X,X,X
LOZTISJ,X,X,X
LOZTJIS,X,X,X
LOZTJSI,X,X,X
LOZTSIJ,X,X,X
LOZTSJI,X,X,X
LOZITJS,X,X,X
LOZITSJ,X,X,X
LOZIJTS,X,X,X
LOZIJST,X,X,O
LOZISTJ,X,X,X
LOZISJT,X,X,O
LOZJTIS,X,X,X
LOZJTSI,X,X,X
LOZJITS,X,X,X
LOZJIST,X,X,O
LOZJSTI,X,X,X
LOZJSIT,X,X,O
LOZSTIJ,X,X,X
LOZSTJI,X,X,X
LOZSITJ,X,X,X
LOZSIJT,X,X,O
LOZSJTI,X,X,X
LOZSJIT,X,X,O
JTILSZO,O,X,X
JTILSOZ,O,X,X
JTILZSO,O,X,X
JTILZOS,X,X,X
JTILOSZ,X,X,X
JTILOZS,X,X,X
JTISLZO,O,X,X
JTISLOZ,O,X,X
JTISZLO,O,X,X
JTISZOL,O,X,X
JTISOLZ,O,X,X
JTISOZL,O,X,X
JTIZLSO,O,X,X
JTIZLOS,X,X,X
JTIZSLO,O,X,X
JTIZSOL,O,X,X
JTIZOLS,X,X,X
JTIZOSL,X,X,X
JTIOLSZ,X,X,X
JTIOLZS,X,X,X
JTIOSLZ,X,X,X
JTIOSZL,X,X,X
JTIOZLS,X,X,X
JTIOZSL,X,X,X
JTLISZO,O,X,X
JTLISOZ,O,X,X
JTLIZSO,O,X,X
JTLIZOS,X,X,X
JTLIOSZ,X,X,X
JTLIOZS,X,X,X
JTLSIZO,O,X,X
JTLSIOZ,O,X,X
JTLSZIO,O,X,X
JTLSZOI,O,X,X
JTLSOIZ,O,X,X
JTLSOZI,O,X,X
JTLZISO,O,X,X
JTLZIOS,X,X,X
JTLZSIO,O,X,X
JTLZSOI,O,X,X
JTLZOIS,X,X,X
JTLZOSI,X,X,X
JTLOISZ,X,X,X
JTLOIZS,X,X,X
JTLOSIZ,X,X,X
JTLOSZI,X,X,X
JTLOZIS,X,X,X
JTLOZSI,X,X,X
JTSILZO,O,X,X
JTSILOZ,O,X,X
JTSIZLO,O,X,X
JTSIZOL,O,X,X
JTSIOLZ,O,X,X
JTSIOZL,O,X,X
JTSLIZO,O,X,X
JTSLIOZ,O,X,X
JTSLZIO,O,X,X
JTSLZOI,O,X,X
JTSLOIZ,O,X,X
JTSLOZI,O,X,X
JTSZILO,O,X,X
JTSZIOL,O,X,X
JTSZLIO,O,X,X
JTSZLOI,O,X,X
JTSZOIL,O,X,X
JTSZOLI,O,X,X
JTSOILZ,O,X,X
JTSOIZL,O,X,X
JTSOLIZ,O,X,X
JTSOLZI,O,X,X
JTSOZIL,O,X,X
JTSOZLI,O,X,X
JTZILSO,O,X,X
JTZILOS,X,X,X
JTZISLO,O,X,X
JTZISOL,O,X,X
JTZIOLS,X,X,X
JTZIOSL,X,X,X
JTZLISO,O,X,X
JTZLIOS,X,X,X
JTZLSIO,O,X,X
JTZLSOI,O,X,X
JTZLOIS,X,X,X
JTZLOSI,X,X,X
JTZSILO,O,X,X
JTZSIOL,O,X,X
JTZSLIO,O,X,X
JTZSLOI,O,X,X
JTZSOIL,O,X,X
JTZSOLI,O,X,X
JTZOILS,X,X,X
JTZOISL,X,X,X
JTZOLIS,X,X,X
JTZOLSI,X,X,X
JTZOSIL,X,X,X
JTZOSLI,X,X,X
JTOILSZ,X,X,X
JTOILZS,X,X,X
JTOISLZ,X,X,X
JTOISZL,X,X,X
JTOIZLS,X,X,X
JTOIZSL,X,X,X
JTOLISZ,X,X,X
JTOLIZS,X,X,X
JTOLSIZ,X,X,X
JTOLSZI,X,X,X
JTOLZIS,X,X,X
JTOLZSI,X,X,X
JTOSILZ,X,X,X
JTOSIZL,X,X,X
JTOSLIZ,X,X,X
JTOSLZI,X,X,X
JTOSZIL,X,X,X
JTOSZLI,X,X,X
JTOZILS,X,X,X
JTOZISL,X,X,X
JTOZLIS,X,X,X
JTOZLSI,X,X,X
JTOZSIL,X,X,X
JTOZSLI,X,X,X
JITLSZO,O,X,X
JITLSOZ,O,X,X
JITLZSO,O,X,X
JITLZOS,X,X,X
JITLOSZ,X,X,X
JITLOZS,X,X,X
JITSLZO,O,X,X
JITSLOZ,O,X,X
JITSZLO,O,X,X
JITSZOL,O,X,X
JITSOLZ,O,X,X
JITSOZL,O,X,X
JITZLSO,O,X,X
JITZLOS,X,X,X
JITZSLO,O,X,X
JITZSOL,O,X,X
JITZOLS,X,X,X
JITZOSL,X,X,X
JITOLSZ,X,X,X
JITOLZS,X,X,X
JITOSLZ,X,X,X
JITOSZL,X,X,X
JITOZLS,X,X,X
JITOZSL,X,X,X
JILTSZO,O,X,X
JILTSOZ,O,X,X
JILTZSO,O,X,X
JILTZOS,X,X,X
JILTOSZ,X,X,X
JILTOZS,X,X,X
JILSTZO,O,X,X
JILSTOZ,O,X,X
JILSZTO,O,X,X
JILSZOT,O,X,X
JILSOTZ,O,X,X
JILSOZT,O,X,X
JILZTSO,O,X,X
JILZTOS,X,X,X
JILZSTO,O,X,X
JILZSOT,O,X,X
JILZOTS,X,X,X
JILZOST,X,X,X
JILOTSZ,X,X,X
JILOTZS,X,X,X
JILOSTZ,X,X,X
JILOSZT,X,X,X
JILOZTS,X,X,X
JILOZST,X,X,X
JISTLZO,O,X,X
JISTLOZ,O,X,X
JISTZLO,O,X,X
JISTZOL,O,X,X
JISTOLZ,O,X,X
JISTOZL,O,X,X
JISLTZO,O,X,X
JISLTOZ,O,X,X
JISLZTO,O,X,X
JISLZOT,O,X,X
JISLOTZ,O,X,X
JISLOZT,O,X,X
JISZTLO,O,X,X
JISZTOL,O,X,X
JISZLTO,O,X,X
JISZLOT,O,X,X
JISZOTL,O,X,X
JISZOLT,O,X,O
JISOTLZ,O,X,X
JISOTZL,O,X,X
JISOLTZ,O,X,X
JISOLZT,O,X,O
JISOZTL,O,X,X
JISOZLT,O,X,O
JIZTLSO,O,X,X
JIZTLOS,X,X,X
JIZTSLO,O,X,X
JIZTSOL,O,X,X
JIZTOLS,X,X,X
JIZTOSL,X,X,X
JIZLTSO,O,X,X
JIZLTOS,X,X,X
JIZLSTO,O,X,X
JIZLSOT,O,X,X
JIZLOTS,X,X,X
JIZLOST,X,X,X
JIZSTLO,O,X,X
JIZSTOL,O,X,X
JIZSLTO,O,X,X
JIZSLOT,O,X,X
JIZSOTL,O,X,X
JIZSOLT,O,X,O
JIZOTLS,X,X,X
JIZOTSL,X,X,X
JIZOLTS,X,X,X
JIZOLST,X,X,O
JIZOSTL,X,X,X
JIZOSLT,X,X,O
JIOTLSZ,X,X,X
JIOTLZS,X,X,X
JIOTSLZ,X,X,X
JIOTSZL,X,X,X
JIOTZLS,X,X,X
JIOTZSL,X,X,X
JIOLTSZ,X,X,X
JIOLTZS,X,X,X
JIOLSTZ,X,X,X
JIOLSZT,X,X,O
JIOLZTS,X,X,X
JIOLZST,X,X,O
JIOSTLZ,X,X,X
JIOSTZL,X,X,X
JIOSLTZ,X,X,X
JIOSLZT,X,X,O
JIOSZTL,X,X,X
JIOSZLT,X,X,O
JIOZTLS,X,X,X
JIOZTSL,X,X,X
JIOZLTS,X,X,X
JIOZLST,X,X,O
JIOZSTL,X,X,X
JIOZSLT,X,X,O
JLTISZO,O,X,X
JLTISOZ,O,X,X
JLTIZSO,O,X,X
JLTIZOS,X,X,X
JLTIOSZ,X,X,X
JLTIOZS,X,X,X
JLTSIZO,O,X,X
JLTSIOZ,O,X,X
JLTSZIO,O,X,X
JLTSZOI,O,X,X
JLTSOIZ,O,X,X
JLTSOZI,O,X,X
JLTZISO,O,X,X
JLTZIOS,X,X,X
JLTZSIO,O,X,X
JLTZSOI,O,X,X
JLTZOIS,X,X,X
JLTZOSI,X,X,X
JLTOISZ,X,X,X
JLTOIZS,X,X,X
JLTOSIZ,X,X,X
JLTOSZI,X,X,X
JLTOZIS,X,X,X
JLTOZSI,X,X,X
JLITSZO,O,X,X
JLITSOZ,O,X,X
JLITZSO,O,X,X
JLITZOS,X,X,X
JLITOSZ,X,X,X
JLITOZS,X,X,X
JLISTZO,O,X,X
JLISTOZ,O,X,X
JLISZTO,O,X,X
JLISZOT,O,X,X
JLISOTZ,O,X,X
JLISOZT,O,X,X
JLIZTSO,O,X,X
JLIZTOS,X,X,X
JLIZSTO,O,X,X
JLIZSOT,O,X,X
JLIZOTS,X,X,X
JLIZOST,X,X,X
JLIOTSZ,X,X,X
JLIOTZS,X,X,X
JLIOSTZ,X,X,X
JLIOSZT,X,X,X
JLIOZTS,X,X,X
JLIOZST,X,X,X
JLSTIZO,O,X,X
JLSTIOZ,O,X,X
JLSTZIO,O,X,X
JLSTZOI,O,X,X
JLSTOIZ,O,X,X
JLSTOZI,O,X,X
JLSITZO,O,X,X
JLSITOZ,O,X,X
JLSIZTO,O,X,X
JLSIZOT,O,X,X
JLSIOTZ,O,X,X
JLSIOZT,O,X,X
JLSZTIO,O,X,X
JLSZTOI,O,X,X
JLSZITO,O,X,X
JLSZIOT,O,X,X
JLSZOTI,O,X,X
JLSZOIT,O,X,X
JLSOTIZ,O,X,X
JLSOTZI,O,X,X
JLSOITZ,O,X,X
JLSOIZT,O,X,X
JLSOZTI,O,X,X
JLSOZIT,O,X,X
JLZTISO,O,X,X
JLZTIOS,X,X,X
JLZTSIO,O,X,X
JLZTSOI,O,X,X
JLZTOIS,X,X,X
JLZTOSI,X,X,X
JLZITSO,O,X,X
JLZITOS,X,X,X
JLZISTO,O,X,X
JLZISOT,O,X,X
JLZIOTS,X,X,X
JLZIOST,X,X,X
JLZSTIO,O,X,X
JLZSTOI,O,X,X
JLZSITO,O,X,X
JLZSIOT,O,X,X
JLZSOTI,O,X,X
JLZSOIT,O,X,X
JLZOTIS,X,X,X
JLZOTSI,X,X,X
JLZOITS,X,X,X
JLZOIST,X,X,X
JLZOSTI,X,X,X
JLZOSIT,X,X,X
JLOTISZ,X,X,X
JLOTIZS,X,X,X
JLOTSIZ,X,X,X
JLOTSZI,X,X,X
JLOTZIS,X,X,X
JLOTZSI,X,X,X
JLOITSZ,X,X,X
JLOITZS,X,X,X
JLOISTZ,X,X,X
JLOISZT,X,X,X
JLOIZTS,X,X,X
JLOIZST,X,X,X
JLOSTIZ,X,X,X
JLOSTZI,X,X,X
JLOSITZ,X,X,X
JLOSIZT,X,X,X
JLOSZTI,X,X,X
JLOSZIT,X,X,X
JLOZTIS,X,X,X
JLOZTSI,X,X,X
JLOZITS,X,X,X
JLOZIST,X,X,X
JLOZSTI,X,X,X
JLOZSIT,X,X,X
JSTILZO,O,X,X
JSTILOZ,O,X,X
JSTIZLO,O,X,X
JSTIZOL,O,X,X
JSTIOLZ,O,X,X
JSTIOZL,O,X,X
JSTLIZO,O,X,X
JSTLIOZ,O,X,X
JSTLZIO,O,X,X
JSTLZOI,O,X,X
JSTLOIZ,O,X,X
JSTLOZI,O,X,X
JSTZILO,O,X,X
JSTZIOL,O,X,X
JSTZLIO,O,X,X
JSTZLOI,O,X,X
JSTZOIL,O,X,X
JSTZOLI,O,X,X
JSTOILZ,O,X,X
JSTOIZL,O,X,X
JSTOLIZ,O,X,X
JSTOLZI,O,X,X
JSTOZIL,O,X,X
JSTOZLI,O,X,X
JSITLZO,O,X,X
JSITLOZ,O,X,X
JSITZLO,O,X,X
JSITZOL,O,X,X
JSITOLZ,O,X,X
JSITOZL,O,X,X
JSILTZO,O,X,X
JSILTOZ,O,X,X
JSILZTO,O,X,X
JSILZOT,O,X,X
JSILOTZ,O,X,X
JSILOZT,O,X,X
JSIZTLO,O,X,X
JSIZTOL,O,X,X
JSIZLTO,O,X,X
JSIZLOT,O,X,X
JSIZOTL,O,X,X
JSIZOLT,O,X,O
JSIOTLZ,O,X,X
JSIOTZL,O,X,X
JSIOLTZ,O,X,X
JSIOLZT,O,X,O
JSIOZTL,O,X,X
JSIOZLT,O,X,O
JSLTIZO,O,X,X
JSLTIOZ,O,X,X
JSLTZIO,O,X,X
JSLTZOI,O,X,X
JSLTOIZ,O,X,X
JSLTOZI,O,X,X
JSLITZO,O,X,X
JSLITOZ,O,X,X
JSLIZTO,O,X,X
JSLIZOT,O,X,X
JSLIOTZ,O,X,X
JSLIOZT,O,X,X
JSLZTIO,O,X,X
JSLZTOI,O,X,X
JSLZITO,O,X,X
JSLZIOT,O,X,X
JSLZOTI,O,X,X
JSLZOIT,O,X,X
JSLOTIZ,O,X,X
JSLOTZI,O,X,X
JSLOITZ,O,X,X
JSLOIZT,O,X,X
JSLOZTI,O,X,X
JSLOZIT,O,X,X
JSZTILO,O,X,X
JSZTIOL,O,X,X
JSZTLIO,O,X,X
JSZTLOI,O,X,X
JSZTOIL,O,X,X
JSZTOLI,O,X,X
JSZITLO,O,X,X
JSZITOL,O,X,X
JSZILTO,O,X,X
JSZILOT,O,X,X
JSZIOTL,O,X,X
JSZIOLT,O,X,O
JSZLTIO,O,X,X
JSZLTOI,O,X,X
JSZLITO,O,X,X
JSZLIOT,O,X,X
JSZLOTI,O,X,X
JSZLOIT,O,X,X
JSZOTIL,O,X,X
JSZOTLI,O,X,X
JSZOITL,O,X,X
JSZOILT,O,X,O
JSZOLTI,O,X,X
JSZOLIT,O,X,O
JSOTILZ,O,X,X
JSOTIZL,O,X,X
JSOTLIZ,O,X,X
JSOTLZI,O,X,X
JSOTZIL,O,X,X
JSOTZLI,O,X,X
JSOITLZ,O,X,X
JSOITZL,O,X,X
JSOILTZ,O,X,X
JSOILZT,O,X,O
JSOIZTL,O,X,X
JSOIZLT,O,X,O
JSOLTIZ,O,X,X
JSOLTZI,O,X,X
JSOLITZ,O,X,X
JSOLIZT,O,X,O
JSOLZTI,O,X,X
JSOLZIT,O,X,O
JSOZTIL,O,X,X
JSOZTLI,O,X,X
JSOZITL,O,X,X
JSOZILT,O,X,O
JSOZLTI,O,X,X
JSOZLIT,O,X,O
JZTILSO,O,X,X
JZTILOS,X,X,X
JZTISLO,O,X,X
JZTISOL,O,X,X
JZTIOLS,X,X,X
JZTIOSL,X,X,X
JZTLISO,O,X,X
JZTLIOS,X,X,X
JZTLSIO,O,X,X
JZTLSOI,O,X,X
JZTLOIS,X,X,X
JZTLOSI,X,X,X
JZTSILO,O,X,X
JZTSIOL,O,X,X
JZTSLIO,O,X,X
JZTSLOI,O,X,X
JZTSOIL,O,X,X
JZTSOLI,O,X,X
JZTOILS,X,X,X
JZTOISL,X,X,X
JZTOLIS,X,X,X
JZTOLSI,X,X,X
JZTOSIL,X,X,X
JZTOSLI,X,X,X
JZITLSO,O,X,X
JZITLOS,X,X,X
JZITSLO,O,X,X
JZITSOL,O,X,X
JZITOLS,X,X,X
JZITOSL,X,X,X
JZILTSO,O,X,X
JZILTOS,X,X,X
JZILSTO,O,X,X
JZILSOT,O,X,X
JZILOTS,X,X,X
JZILOST,X,X,X
JZISTLO,O,X,X
JZISTOL,O,X,X
JZISLTO,O,X,X
JZISLOT,O,X,X
JZISOTL,O,X,X
JZISOLT,O,X,O
JZIOTLS,X,X,X
JZIOTSL,X,X,X
JZIOLTS,X,X,X
JZIOLST,X,X,O
JZIOSTL,X,X,X
JZIOSLT,X,X,O
JZLTISO,O,X,X
JZLTIOS,X,X,X
JZLTSIO,O,X,X
JZLTSOI,O,X,X
JZLTOIS,X,X,X
JZLTOSI,X,X,X
JZLITSO,O,X,X
JZLITOS,X,X,X
JZLISTO,O,X,X
JZLISOT,O,X,X
JZLIOTS,X,X,X
JZLIOST,X,X,X
JZLSTIO,O,X,X
JZLSTOI,O,X,X
JZLSITO,O,X,X
JZLSIOT,O,X,X
JZLSOTI,O,X,X
JZLSOIT,O,X,X
JZLOTIS,X,X,X
JZLOTSI,X,X,X
JZLOITS,X,X,X
JZLOIST,X,X,X
JZLOSTI,X,X,X
JZLOSIT,X,X,X
JZSTILO,O,X,X
JZSTIOL,O,X,X
JZSTLIO,O,X,X
JZSTLOI,O,X,X
JZSTOIL,O,X,X
JZSTOLI,O,X,X
JZSITLO,O,X,X
JZSITOL,O,X,X
JZSILTO,O,X,X
JZSILOT,O,X,X
JZSIOTL,O,X,X
JZSIOLT,O,X,O
JZSLTIO,O,X,X
JZSLTOI,O,X,X
JZSLITO,O,X,X
JZSLIOT,O,X,X
JZSLOTI,O,X,X
JZSLOIT,O,X,X
JZSOTIL,O,X,X
JZSOTLI,O,X,X
JZSOITL,O,X,X
JZSOILT,O,X,O
JZSOLTI,O,X,X
JZSOLIT,O,X,O
JZOTILS,X,X,X
JZOTISL,X,X,X
JZOTLIS,X,X,X
JZOTLSI,X,X,X
JZOTSIL,X,X,X
JZOTSLI,X,X,X
JZOITLS,X,X,X
JZOITSL,X,X,X
JZOILTS,X,X,X
JZOILST,X,X,O
JZOISTL,X,X,X
JZOISLT,X,X,O
JZOLTIS,X,X,X
JZOLTSI,X,X,X
JZOLITS,X,X,X
JZOLIST,X,X,O
JZOLSTI,X,X,X
JZOLSIT,X,X,O
JZOSTIL,X,X,X
JZOSTLI,X,X,X
JZOSITL,X,X,X
JZOSILT,X,X,O
JZOSLTI,X,X,X
JZOSLIT,X,X,O
JOTILSZ,X,X,X
JOTILZS,X,X,X
JOTISLZ,X,X,X
JOTISZL,X,X,X
JOTIZLS,X,X,X
JOTIZSL,X,X,X
JOTLISZ,X,X,X
JOTLIZS,X,X,X
JOTLSIZ,X,X,X
JOTLSZI,X,X,X
JOTLZIS,X,X,X
JOTLZSI,X,X,X
JOTSILZ,X,X,X
JOTSIZL,X,X,X
JOTSLIZ,X,X,X
JOTSLZI,X,X,X
JOTSZIL,X,X,X
JOTSZLI,X,X,X
JOTZILS,X,X,X
JOTZISL,X,X,X
JOTZLIS,X,X,X
JOTZLSI,X,X,X
JOTZSIL,X,X,X
JOTZSLI,X,X,X
JOITLSZ,X,X,X
JOITLZS,X,X,X
JOITSLZ,X,X,X
JOITSZL,X,X,X
JOITZLS,X,X,X
JOITZSL,X,X,X
JOILTSZ,X,X,X
JOILTZS,X,X,X
JOILSTZ,X,X,X
JOILSZT,X,X,O
JOILZTS,X,X,X
JOILZST,X,X,O
JOISTLZ,X,X,X
JOISTZL,X,X,X
JOISLTZ,X,X,X
JOISLZT,X,X,O
JOISZTL,X,X,X
JOISZLT,X,X,O
JOIZTLS,X,X,X
JOIZTSL,X,X,X
JOIZLTS,X,X,X
JOIZLST,X,X,O
JOIZSTL,X,X,X
JOIZSLT,X,X,O
JOLTISZ,X,X,X
JOLTIZS,X,X,X
JOLTSIZ,X,X,X
JOLTSZI,X,X,X
JOLTZIS,X,X,X
JOLTZSI,X,X,X
JOLITSZ,X,X,X
JOLITZS,X,X,X
JOLISTZ,X,X,X
JOLISZT,X,X,O
JOLIZTS,X,X,X
JOLIZST,X,X,O
JOLSTIZ,X,X,X
JOLSTZI,X,X,X
JOLSITZ,X,X,X
JOLSIZT,X,X,O
JOLSZTI,X,X,X
JOLSZIT,X,X,O
JOLZTIS,X,X,X
JOLZTSI,X,X,X
JOLZITS,X,X,X
JOLZIST,X,X,O
JOLZSTI,X,X,X
JOLZSIT,X,X,O
JOSTILZ,X,X,X
JOSTIZL,X,X,X
JOSTLIZ,X,X,X
JOSTLZI,X,X,X
JOSTZIL,X,X,X
JOSTZLI,X,X,X
JOSITLZ,X,X,X
JOSITZL,X,X,X
JOSILTZ,X,X,X
JOSILZT,X,X,O
JOSIZTL,X,X,X
JOSIZLT,X,X,O
JOSLTIZ,X,X,X
JOSLTZI,X,X,X
JOSLITZ,X,X,X
JOSLIZT,X,X,O
JOSLZTI,X,X,X
JOSLZIT,X,X,O
JOSZTIL,X,X,X
JOSZTLI,X,X,X
JOSZITL,X,X,X
JOSZILT,X,X,O
JOSZLTI,X,X,X
JOSZLIT,X,X,O
JOZTILS,X,X,X
JOZTISL,X,X,X
JOZTLIS,X,X,X
JOZTLSI,X,X,X
JOZTSIL,X,X,X
JOZTSLI,X,X,X
JOZITLS,X,X,X
JOZITSL,X,X,X
JOZILTS,X,X,X
JOZILST,X,X,O
JOZISTL,X,X,X
JOZISLT,X,X,O
JOZLTIS,X,X,X
JOZLTSI,X,X,X
JOZLITS,X,X,X
JOZLIST,X,X,O
JOZLSTI,X,X,X
JOZLSIT,X,X,O
JOZSTIL,X,X,X
JOZSTLI,X,X,X
JOZSITL,X,X,X
JOZSILT,X,X,O
JOZSLTI,X,X,X
JOZSLIT,X,X,O
STILJZO,O,X,X
STILJOZ,O,X,X
STILZJO,X,O,X
STILZOJ,X,O,X
STILOJZ,O,X,X
STILOZJ,X,O,X
STIJLZO,O,X,X
STIJLOZ,O,X,X
STIJZLO,O,X,X
STIJZOL,O,X,X
STIJOLZ,O,X,X
STIJOZL,O,X,X
STIZLJO,X,X,X
STIZLOJ,X,X,X
STIZJLO,X,X,X
STIZJOL,X,X,X
STIZOLJ,X,X,X
STIZOJL,X,X,X
STIOLJZ,O,X,X
STIOLZJ,X,O,X
STIOJLZ,O,X,X
STIOJZL,O,X,X
STIOZLJ,X,X,X
STIOZJL,X,X,X
STLIJZO,O,X,X
STLIJOZ,O,X,X
STLIZJO,X,O,X
STLIZOJ,X,O,X
STLIOJZ,O,X,X
STLIOZJ,X,O,X
STLJIZO,O,X,X
STLJIOZ,O,X,X
STLJZIO,O,X,X
STLJZOI,O,X,X
STLJOIZ,O,X,X
STLJOZI,O,X,X
STLZIJO,X,O,X
STLZIOJ,X,O,X
STLZJIO,X,O,X
STLZJOI,X,O,X
STLZOIJ,X,O,X
STLZOJI,X,O,X
STLOIJZ,O,X,X
STLOIZJ,X,O,X
STLOJIZ,O,X,X
STLOJZI,O,X,X
STLOZIJ,X,O,X
STLOZJI,X,O,X
STJILZO,O,X,X
STJILOZ,O,X,X
STJIZLO,O,X,X
STJIZOL,O,X,X
STJIOLZ,O,X,X
STJIOZL,O,X,X
STJLIZO,O,X,X
STJLIOZ,O,X,X
STJLZIO,O,X,X
STJLZOI,O,X,X
STJLOIZ,O,X,X
STJLOZI,O,X,X
STJZILO,O,X,X
STJZIOL,O,X,X
STJZLIO,O,X,X
STJZLOI,O,X,X
STJZOIL,O,X,X
STJZOLI,O,X,X
STJOILZ,O,X,X
STJOIZL,O,X,X
STJOLIZ,O,X,X
STJOLZI,O,X,X
STJOZIL,O,X,X
